num,Interface,protocol,source,destination,direction
1,RJ45,TCP/IP,AMS,ISS,single
2,RS-485,Modbus,BMSM,AMS,dual
3,RS-485,Modbus,BMSR,AMS,dual
4,RJ45,TCP/IP,IGG,AMS,single
5,RS-485,Modbus,MECS,AMS,single
6,RS-485,Modbus,LC,AMS,dual
7,RS-485,Modbus,GE,AMS,single
8,RS-422,NMEA,AMS,VDR,single
9,RS-422,Modbus,BWMS,AMS,single
10,RS-485,Modbus,PMS,AMS,dual
11,RS-485,Modbus,BWTS,AMS,dual
12,RS-485,Modbus,SCR,AMS,dual
13,RS-485,Modbus,TLGS,AMS,single
14,RS-485,NMEA,SPM,AMS,single
15,RS-485,Modbus,BS,AMS,single
16,RS-485,Modbus,EGCS,AMS,dual
17,RS-485,Modbus,TRGS,CHS,single
18,RS-485,Modbus,GDS,CHS,single
19,RJ45,TCP/IP,CHS,ISS,single
20,RS-422,NMEA,CHS,VDR,single
21,RS-485,Modbus,BMS,VDR,single
22,RS-422,NMEA,BMS,ECDIS1,single
23,RS-422,NMEA,SC,ECDIS1,single
24,RS-422,NMEA,GC,ECDIS1,single
25,RS-422,NMEA,DGPS,ECDIS1,single
26,RS-422,NMEA,DSL,ECDIS1,single
27,RS-422,NMEA,ES,ECDIS1,single
28,Dry Contact,,ECDIS1,BNWAS,single
29,RS-422,NMEA,ECDIS1,NAVBOX,single
30,RS-422,NMEA,ECDIS1,DSL,single
31,RS-422,NMEA,RAI,ECDIS1,single
32,RS-422,NMEA,NAVTEX,ECDIS1,single
33,RS-422,NMEA,AIS,ECDIS1,dual
34,RS-422,NMEA,AA,ECDIS1,single
35,RS-422,NMEA,VHF1,ECDIS1,dual
36,RS-422,NMEA,VHF2,ECDIS1,dual
37,RJ45,TCP/IP,ECDIS1,VDR,single
38,RJ45,TCP/IP,ECDIS1,ECDIS2,dual
39,RJ45,TCP/IP,ECDIS1,RADAR1,dual
40,RJ45,TCP/IP,ECDIS1,RADAR2,dual
41,RJ45,TCP/IP,ECDIS1,RADAR3,dual
42,RS-422,NMEA,GC,ECDIS2,single
43,RS-422,NMEA,DGPS,ECDIS2,single
44,RS-422,NMEA,DSL,ECDIS2,single
45,RS-422,NMEA,ES,ECDIS2,single
46,RS-422,NMEA,SC,ECDIS2,single
47,Dry Contact,,ECDIS2,BNWAS,single
48,RJ45,TCP/IP,ECDIS1,RADAR2,dual
49,RS-422,NMEA,GC,RADAR1,single
50,RS-422,NMEA,AIS,RADAR1,dual
51,RS-422,NMEA,DGPS,RADAR1,single
52,RS-422,NMEA,DSL,RADAR1,single
53,RJ45,TCP/IP,RADAR1,RADAR2,dual
54,Dry Contact,,RADAR1,BNWAS,single
55,RS-422,NMEA,GC,RADAR2,single
56,RS-422,NMEA,AIS,RADAR2,dual
57,RS-422,NMEA,DGPS,RADAR2,single
58,RS-422,NMEA,DSL,RADAR2,single
59,RJ45,TCP/IP,RADAR3,RADAR2,dual
60,Dry Contact,,RADAR2,BNWAS,single
61,RS-422,NMEA,GC,RADAR3,single
62,RS-422,NMEA,AIS,RADAR3,dual
63,RS-422,NMEA,DGPS,RADAR3,single
64,RS-422,NMEA,DSL,RADAR3,single
65,Dry Contact,,RADAR3,BNWAS,single
66,RS-422,NMEA,AIS,VDR,single
67,RS-422,NMEA,DGPS,AIS,single
68,RS-422,NMEA,GC,AIS,single
69,RS-422,NMEA,AP,SG,single
70,RS-422,NMEA,DSL,AP,single
71,RS-422,NMEA,AP,VDR,single
72,RS-422,NMEA,DGPS,AP,single
73,RS-422,NMEA,DSL,GC,single
74,Analog,Analog,MC,GC,single
75,RS-422,NMEA,DGPS,GC,single
76,RS-422,NMEA,GC,VDR,single
77,RS-422,NMEA,GC,IFB,single
78,RS-422,NMEA,GC,SSL,single
79,RS-422,NMEA,GC,EML,single
80,RS-422,NMEA,GC,DSL,single
81,RS-422,NMEA,DGPS,DSL,single
82,RS-422,NMEA,ECDIS1,DSL,single
83,RS-422,NMEA,SSL,DSL,single
84,RS-422,NMEA,EML,DSL,single
85,RS-422,NMEA,DSL,VDR,single
86,RS-422,NMEA,SSL,VDR,single
87,RS-422,NMEA,DGPS,EML,single
88,RS-422,NMEA,SC,DGPS,single
89,RS-422,NMEA,DGPS,EGCS,single
90,RS-422,NMEA,DGPS,LRIT,single
91,RS-422,NMEA,DGPS,ES,single
92,RS-422,NMEA,DGPS,LRITC,single
93,RS-422,NMEA,DGPS,AA,single
94,RS-422,NMEA,DGPS,BWTS,single
95,RS-422,NMEA,DGPS,VDR,single
96,RS-422,NMEA,DGPS,CLOCK,single
97,RS-422,NMEA,DGPS,GMDSS,single
98,RS-422,NMEA,DGPS,VHF3,single
99,RS-422,NMEA,SC,GC,single
100,RS-422,NMEA,ES,VDR,single
101,RS-422,NMEA,BNWAS,VDR,single
102,RS-422,NMEA,RAI,VDR,single
103,Dry Contact,,GMDSS,PA,dual
104,Dry Contact,,GMDSS,CAS,dual
105,RS-422,NMEA,GMDSS,VHF1,single
106,RS-422,NMEA,GMDSS,VHF2,single
107,RS-422,NMEA,VHF1,VDR,single
108,RS-422,NMEA,VHF2,VDR,single
109,RS-422,NMEA,AA,VDR,single
110,RS-422,NMEA,MECS,VDR,single
111,Dry Contact,,PMS,VDR,single
112,RS-422,NMEA,CLOCK,AT,single
113,RJ45,TCP/IP,CHS,ISS,single
114,RJ45,TCP/IP,VDR,ISS,single
115,RJ45,TCP/IP,VSAT,ISS,dual
116,RJ45,TCP/IP,NAVBOX,VSAT,VSAT
117,RJ45,TCP/IP,LAN,VSAT,dual
118,RS-422,NMEA,GC,VSAT,single
119,RJ45,TCP/IP,SCS,VSAT,dual
120,RJ45,TCP/IP,AT,SCS,dual
121,RS-485,Modbus,TRGS,CHS,dual
122,Dry Contact,,GDS,CHS,single
